code_insee_com,nom_com,niveau_vie_median_2021,nb_logements_2022,Pourcentage_appartements_2022,pourcentage_locataires_dans_résidence_principale_2022,evolution_annuelle_moy_de_la_population_entre_2017_et_ 2023_en_pourcentage,population_municipale_2023,Taux_activite_tranche_15-64_en_2022
64225,Ance Féas,22180,361,6.2,14.5,0.32,624,75.5
64226,Fichous-Riumayou,21150,88,1.1,17.3,2.45,207,90.8
64227,Gabaston,24280,304,1.7,13.6,0.28,673,81.1
64228,Gabat,23140,124,15.1,19.4,1.14,274,80.6
64229,Gamarthe,21400,58,30,27.5,-0.13,125,79.5
64230,Gan,24730,2674,16,23,0.5,5676,77.7
64231,Garindein,22220,257,10.1,15,-1.49,457,75.3
64232,Garlède-Mondebat,22720,102,2,16.7,-0.15,220,75.6
64233,Garlin,20690,697,18,31.6,-0.33,1360,75.9
64234,Garos,22830,123,1.8,15.7,0.32,262,82.4
64235,Garris,22570,188,32.4,40.3,2.13,320,68.6
64236,Gayon,N/A - secret statistique,34,2.8,9.4,0.6,57,82.8
64237,Gelos,25160,1870,31.3,30.4,0.44,3637,75.5
64238,Ger,26130,1008,2.9,9.3,1.99,2137,78.7
64239,Gerderest,19650,63,6.3,17,0.48,141,76.8
64240,Gère-Bélesten,20790,236,6.2,13.5,-0.09,189,78.1
64241,Géronce,23380,247,6,13.8,1.31,492,78.5
64242,Gestas,N/A - secret statistique,45,6.8,18.2,0.93,74,80
64243,Géus-d'Arzacq,22770,85,0,11.5,2.65,234,82.8
64244,Geüs-d'Oloron,23730,121,5,11,0.59,261,78.9
64245,Goès,24030,302,3.4,16.5,-2.99,520,77.6
64246,Gomer,25050,118,0.9,9.1,-0.87,298,81.5
64247,Gotein-Libarrenx,21950,248,9.2,16.1,0.07,479,76.4
64249,Guéthary,25090,1396,59.5,32.1,-0.18,1306,81.7
64250,Guiche,22990,502,13.4,15.3,1.73,1075,80.4
64251,Guinarthe-Parenties,21160,131,4.6,11.3,0.22,227,75.6
64252,Gurmençon,23130,411,3.7,15.2,-0.32,867,72.3
64253,Gurs,21750,220,3.2,13.6,-0.04,418,76.3
64254,Hagetaubin,23170,283,0.6,12.5,-0.29,568,78.6
64255,Halsou,25760,300,21,20.6,-0.17,589,77.8
64256,Hasparren,22630,3893,41.6,36.7,1.73,7626,79
64257,Haut-de-Bosdarros,25130,148,0.7,13.1,-0.66,322,82.1
64258,Haux,N/A - secret statistique,56,9.1,7,0.4,84,65.2
64259,Hélette,21720,428,36.8,24.4,0.93,758,82.6
64260,Hendaye,22090,14610,77.1,40.9,1.57,18102,74.7
64261,Herrère,24080,194,2.6,11.8,0.43,397,76.3
64262,Higuères-Souye,22140,127,1.6,8,0.6,284,78.3
64263,L'Hôpital-d'Orion,23640,84,1.2,15.8,-0.24,136,82.6
64264,L'Hôpital-Saint-Blaise,N/A - secret statistique,32,3.1,7.7,-3.71,55,66.7
64265,Hosta,N/A - secret statistique,55,12.8,11.8,3.79,100,78.1
64266,Hours,23910,101,1,4.7,-2.45,231,84.5
64267,Ibarrolle,N/A - secret statistique,42,2.2,12.1,-1.92,73,72.7
64268,Idaux-Mendy,19970,134,4.8,17.6,-0.19,267,78.9
64269,Idron,30290,2298,21.2,25.8,1.63,5340,77.8
64270,Igon,23760,435,3.5,14.3,1.01,1028,76.7
64271,Iholdy,20970,234,18.8,20.6,0.03,550,80.2
64272,Ilharre,22420,64,11.3,9.4,-0.56,147,74.6
64273,Irissarry,22670,453,21.2,20.7,-0.3,870,84.5
64274,Irouléguy,22840,203,17.1,16.8,0.05,364,80.9
64275,Ispoure,21460,343,26.6,30.1,-0.15,667,76.7
64276,Issor,21610,198,1.9,12.5,1.36,256,80.9
64277,Isturits,23050,218,27.7,19.2,0.6,537,82.5
64279,Itxassou,24290,1274,34.9,23.8,0.88,2248,80.4
64280,Izeste,19900,268,23.7,25.8,0.66,442,80.3
64281,Jasses,20420,89,1.2,13.8,0.48,142,68.5
64282,Jatxou,25370,557,17.5,17.5,1.57,1267,77.3
64283,Jaxu,19780,108,19.7,18.3,0.33,206,80.4
64284,Jurançon,22770,3955,48.4,42.5,-0.13,7040,73.9
64285,Juxue,19150,94,22.3,15.4,-0.73,200,81.1
64286,Laà-Mondrans,24870,209,2.4,6.1,-0.23,423,76.2
64287,Laàs,22130,78,3.8,13.6,0.48,140,71.4
64288,Labastide-Cézéracq,23900,284,3.4,16.4,0.85,584,76.9
64289,La Bastide-Clairence,22560,582,28.5,26.7,0.35,1000,79
64290,Labastide-Monréjeau,24750,228,0.4,7.9,0.06,591,78.7
64291,Labastide-Villefranche,18250,197,8,15.6,0.39,343,76.2
64292,Labatmale,23050,115,3.5,13.9,0.2,257,82.3
64293,Labatut-Figuières,19290,90,4.5,9.3,-0.29,172,78.8
64294,Labets-Biscay,20370,74,4.1,12.1,-1.74,144,79.8
64295,Labeyrie,23200,53,1.8,4.3,-2.91,103,77.8
64296,Lacadée,23950,67,4,16.4,-1.11,145,83.5
64297,Lacarre,20510,89,34.3,40,-0.29,171,76
64298,Lacarry-Arhan-Charritte-de-Haut,22130,107,3.8,13.2,-2.89,109,84.4
64299,Lacommande,23660,104,0,18,-3.58,172,80.8
64300,Lacq,24060,486,5.3,19,-0.02,1036,77.8
64301,Lagor,23220,587,6.4,17.4,-1.05,1121,75.2
64302,Lagos,23070,223,2.1,10.8,0.18,473,73.6
64303,Laguinge-Restoue,22570,96,3.1,8.6,-0.32,155,77.3
64304,Lahonce,24990,1270,22.2,18.2,2.11,2740,78.5
64305,Lahontan,21950,276,4,18.8,0.7,536,81.4
64306,Lahourcade,25390,354,2,5.7,0.26,709,75.5
64307,Lalongue,21410,96,0,12.5,-0.88,201,68.8
64308,Lalonquette,22070,132,1.5,16.6,-0.81,261,79.3
64309,Lamayou,24900,101,3.8,9.6,1.05,214,93
64310,Lanne-en-Barétous,19530,371,9.2,21.9,-0.44,481,77.3
64311,Lannecaube,21390,76,2.6,6.5,-1.52,145,88.1
64312,Lanneplaà,25480,143,2.9,9.1,-0.27,301,78
64313,Lantabat,18490,147,9.9,9.6,0.75,297,79.1
64314,Larceveau-Arros-Cibits,21820,223,20.5,21.1,1.4,449,70.9
64315,Laroin,25290,504,15.5,22,-0.73,1030,80.7
64316,Larrau,20900,251,6.8,14,-1.58,179,80.7
64317,Larressore,24180,1034,35.5,26.1,0.87,2163,80.1
64318,Larreule,22970,88,3.4,11,0.98,194,81.1
64319,Larribar-Sorhapuru,19810,91,9.4,10.5,-0.09,187,73.8
64320,Laruns,22050,1604,41.8,25.9,-0.24,1177,76
64321,Lasclaveries,21710,113,1.8,16.7,0.14,246,78.3
64322,Lasse,21590,173,8.7,5.3,0.05,334,77.6
64323,Lasserre,N/A - secret statistique,60,0,8.5,4.36,115,65.2
64324,Lasseube,23000,880,6.1,13.9,-0.01,1735,80.6
64325,Lasseubetat,22790,109,3.7,5.7,-1.59,188,75.5
64326,Lay-Lamidou,20960,62,1.6,10,1.63,130,77.1
64327,Lecumberry,20040,136,8.7,17.8,2.2,196,83.6
64328,Ledeuix,23540,513,3.1,9,-0.05,1029,75.7
64329,Lée,32160,548,3,11,0.01,1271,73.6
64330,Lées-Athas,20420,234,5.8,25.9,-2.4,229,77.8
64331,Lembeye,22610,480,23.4,33.1,1.35,838,79.4
64332,Lème,23130,81,1.3,7.6,0.2,168,80.2
64334,Léren,23590,109,0.9,7.3,-0.77,210,87.5
64335,Lescar,26500,4474,24.2,30.9,-0.6,9455,75
64336,Lescun,17360,391,1.9,14,-0.89,163,77.1
64337,Lespielle,21540,80,3.8,3.1,-0.33,152,75.3
64338,Lespourcy,20890,83,4.7,12.3,-1.25,178,81.9
64339,Lestelle-Bétharram,21690,432,17.1,23,-0.88,788,77.5
64340,Lichans-Sunhar,N/A - secret statistique,53,3.8,5.4,0.61,84,87
64341,Lichos,22370,73,5.6,3.9,-1.01,127,82.5
64342,Licq-Athérey,23460,169,5.8,13.5,-1.08,194,79.1
64343,Limendous,23690,284,3.7,8.4,-0.38,690,74.1
64344,Livron,24790,168,4.5,6.1,-1.06,380,75.4
64345,Lohitzun-Oyhercq,20090,116,17.2,24.7,-0.92,192,76.3
64346,Lombia,23940,93,1.1,3.4,-0.08,206,79.8
64347,Lonçon,24540,86,0,6.8,1.76,221,88.8
64348,Lons,24490,6864,38.5,35.2,0.29,13606,78.1
64349,Loubieng,23420,251,2.1,7.9,-0.82,491,75.4
64350,Louhossoa,23730,424,33.2,31.5,-0.02,886,81
64351,Lourdios-Ichère,N/A - secret statistique,104,12.4,16.4,0.47,145,73.9
64352,Lourenties,23860,185,4.5,15.5,2.79,427,83.8
64353,Louvie-Juzon,22940,710,19.6,21.7,0,1058,76.3
64354,Louvie-Soubiron,21210,144,5.1,16.7,1.87,133,67.6
64355,Louvigny,21600,66,3,3.5,-0.12,139,85.7
64356,Luc-Armau,N/A - secret statistique,57,1.8,4.4,-1.37,104,79.3
64357,Lucarré,N/A - secret statistique,30,0,7.7,1.36,64,73.3
64358,Lucgarier,26700,141,2.7,4.2,1.41,273,73.3
64359,Lucq-de-Béarn,22210,507,2,11.7,-0.16,925,74.4
64360,Lurbe-Saint-Christau,20410,146,6.8,15,1,207,75.9
64361,Lussagnet-Lusson,22850,77,5.3,15.5,1.04,183,77.1
64362,Luxe-Sumberraute,23350,148,11.2,24.5,-0.8,385,74.8
64363,Lys,19110,183,4,13.5,-0.61,322,79.4
64364,Macaye,23020,328,31.7,23.3,0.17,593,82
64365,Malaussanne,20680,208,1.9,11,0.84,450,77
64366,Mascaraàs-Haron,21870,65,1.5,10.5,-2.52,109,86.2
64367,Maslacq,23170,407,5.4,14,0.02,891,75.2
64368,Masparraute,19740,121,6.2,19.4,2.03,264,79.9
64369,Maspie-Lalonquère-Juillacq,20450,135,0,6.8,-1.87,233,78
64370,Maucor,26970,240,0.4,7.2,0.92,564,84.8
64371,Mauléon-Licharre,20610,1844,41.3,40.9,0.1,2972,72.9
64372,Maure,N/A - secret statistique,49,1.9,4.4,-2.38,90,79.3
64373,Mazères-Lezons,25060,900,18.8,23.3,0.11,1845,77.8
64374,Mazerolles,23870,502,3.4,20.6,1.15,1194,80
64375,Méharin,20370,141,16,15.2,0.06,274,79.7
64376,Meillon,24930,425,5.4,11.2,0.73,957,82.3
64377,Mendionde,22190,418,24,20.6,0.2,854,81.8
64378,Menditte,20980,124,11,18.5,0.66,208,81.6
64379,Mendive,19980,127,16.2,28.9,0.8,172,84.4
64380,Méracq,21680,117,4.3,12.6,0.36,234,74.3
64381,Méritein,23810,161,2,5.2,-0.53,279,77
64382,Mesplède,24250,174,1.8,12.7,-1.92,325,80.5
64383,Mialos,22480,61,0,11.8,2.01,142,79.7
64385,Miossens-Lanusse,22880,126,5.6,11.7,1.27,288,79
64386,Mirepeix,23800,649,15.3,19.1,-0.3,1255,80.2
64387,Momas,23770,250,3.8,25.2,0.77,604,83.7
64388,Momy,21070,63,0,5.9,-1.78,114,73.8
64389,Monassut-Audiracq,24080,162,4.6,15.5,0.46,369,79.6
64390,Moncaup,21590,111,0.9,7.9,0,156,75.3
64391,Moncayolle-Larrory-Mendibieu,19790,159,5,16.9,-1.66,284,77.2
64392,Moncla,N/A - secret statistique,56,3.1,13,-0.18,90,75.4
64393,Monein,23970,2249,11.1,18.1,0.03,4446,78.1
64394,Monpezat,N/A - secret statistique,50,0,0,-0.61,80,81.4
