nom_commune;pollution_moyenne_2023;population_2023
Saint-Estève;72.53;11630
Saint-Gély-du-Fesc;67.73;10472
Lattes;49.71;17351
Perpignan;40.76;121616
Montpellier;35.15;310240
Toulouse;33.11;514819
Rodez;27.47;23981
Castres;25.27;42505
Montauban;24.53;62945
Agde;24.1;29939
Tarbes;24.01;44399
Lourdes;22.1;13266
Auch;21.86;22428
Béziers;17.22;81545
Nîmes;15.3;151839
Blagnac;14.76;27604
Alès;14.55;46125
Albi;10.35;51290
Saint-Gaudens;0.64;12139
